text,labels
"The weight of unwelcome thoughts is crushing me, suffocating my soul. #mentalhealthmatters",0
"I just realized I've been saying ""um"" way too much in conversations and it's embarrassing!",5
I just got an acceptance letter from my dream university and I'm still in disbelief!,5
Realized I've been going about my daily routine in autopilot mode and it's blowing my mind!,5
Who needs a clean house when you can have a messy rebellion? #RebelWithoutACause,3
"I'm so tired of feeling like I'm not good enough, like I'm just a disappointment #insecurities",0
Just discovered that my favorite childhood game has a secret level I never knew existed!,5
"Just like Yash, I'm learning to navigate life's ups & downs with empathy & understanding, and it only makes me love him more!",2
Just found out that my best friend has been secretly a talented painter all along!,5
"Your smile is my sunshine, and your laughter is my music - I'm so grateful to be yours #LoveOfMyLife",2
Just had the best cup of coffee and it's giving me all the feels of happiness and contentment #coffee #joy,1
Realized I've been eating an entire pizza by myself every Friday night for months!,5
"When the world feels too much to handle, I put on my favorite song and remind myself there's more to life than fear",4
"Feeling jaded and lost, like the world's just a never-ending loop of disappointment.",0
"Every moment with you is a reminder that love is the answer to every question, and I'm so grateful to have found you #LoveOfMyLife",2
Just found out I'm going to be a guest speaker at a major conference and I'm still pinching myself!,5
"Failing to achieve what I set out to do, feeling like a failure, and it's hard to shake off #sadness #disappointment",0
"I'm learning to love myself more with each passing day, and it's all because of the love and support from the people around me.",2
Just had the craziest dream that I was flying over the city and I'm still reeling from it!,5
"My heart skips a beat whenever he looks at me, it's like the whole world has come to a standstill #LoveAtFirstSight",2
Why do I always put myself in situations that make me feel like I'm walking into a nightmare? #FearOfTheUnknown,4
"Life is full of tiny moments of joy, like a beautiful sunset or a good cup of coffee #JoyInTheLittleThings",1
I'm still reeling from the realization that my favorite childhood game is now a thing of the past!,5
Why do people feel the need to act fake to fit in? #FedUp,3
Just learned that my best friend has been keeping a secret talent for painting and I'm blown away! #surprise,5
"Feeling carefree and happy when I'm surrounded by nature, it's the best feeling!",1
"Woke up in a cold sweat, still haunted by the nightmare of my children being in harm's way #Fear",4
I just discovered a new song that's been stuck in my head for days and I'm still in shock!,5
"Just woke up from a nightmare, still shaking with fear, the thought of being helpless is petrifying #nightmares",4
My heart is heavy with regret for all the opportunities I let slip away #whatifs,0
"I'm tired of feeling like I'm just a means to an end, not a person with feelings #unimportant",0
